,tnv,distance,velocity,accelerate,week_date,date,hour in date,min in date,latitude,longitude,time,moving,active,time_difference,address,type,address_type,hall,nation,count
443,20,301.5261481324206,0.2512717901103505,0.0002093931584252,1,15:04:2013 ,9,3,43.7071484,-72.2859939,1365991395,True,1.0,1200.0,"Berry Hall, 10, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",dormitory,building,Berry Hall,us,56.0
596,20,229.06237897258353,0.1908853158104863,0.0001590710965087,1,15:04:2013 ,21,3,43.7088333,-72.2842521,1366034595,True,1.0,43200.0,"Life Sciences Greenhouse, 78, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",house,place,Life Sciences Greenhouse,us,37.0
597,20,1.6334076565731892,0.0013611730471443,1.1343108726202703e-06,1,15:04:2013 ,22,3,43.7087513,-72.2842345,1366038195,False,0.0,3600.0,"Life Sciences Greenhouse, 78, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",house,place,Life Sciences Greenhouse,us,37.0
444,20,218.56191015847023,0.1821349251320585,0.0001517791042767,1,15:04:2013 ,22,23,43.707159,-72.2860207,1366039395,True,1.0,1200.0,"Berry Hall, 10, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",dormitory,building,Berry Hall,us,56.0
445,20,2.8825098184947646,0.0024020915154123,2.001742929510253e-06,1,15:04:2013 ,23,23,43.7071793,-72.2860204,1366042995,False,0.0,3600.0,"Berry Hall, 10, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",dormitory,building,Berry Hall,us,56.0
203,20,140.5296126139924,0.1171080105116603,9.759000875971694e-05,1,15:04:2013 ,23,43,43.7061555,-72.2891239,1366044195,True,1.0,1200.0,"Dartmouth College, Downing Road, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,14.0
122,20,4.955197173949151,0.0041293309782909,3.441109148575799e-06,2,16:04:2013 ,0,23,43.7062334,-72.2888939,1366046595,False,0.0,2400.0,"Dartmouth College, Downing Road, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,26.0
446,20,127.2151039881832,0.1060125866568193,8.834382221401611e-05,2,16:04:2013 ,0,43,43.7071602,-72.2860121,1366047795,True,1.0,1200.0,"Berry Hall, 10, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",dormitory,building,Berry Hall,us,56.0
559,20,838.3718045890497,0.3493215852454374,0.0001455506605189,2,16:04:2013 ,21,3,43.7010541,-72.2865862,1366120995,True,1.0,73200.0,"Black Family Visual Arts Center, 22, Lebanon Street, Hanover, Grafton County, New Hampshire, 03755, United States",arts_centre,amenity,Black Family Visual Arts Center,us,33.0
123,20,712.5155997176402,0.1484716815414961,3.09380457473424e-05,3,17:04:2013 ,0,3,43.7062466,-72.2890666,1366131795,True,1.0,10800.0,"Dartmouth College, Downing Road, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,26.0
124,20,1.9354095576987644,0.0016128412980823,1.3440344150685863e-06,3,17:04:2013 ,0,43,43.7062462,-72.2890527,1366134195,False,0.0,2400.0,"Dartmouth College, Downing Road, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,26.0
560,20,716.1257259326826,0.2983857191386177,0.0001243273829744,3,17:04:2013 ,1,23,43.7010291,-72.2865049,1366136595,True,1.0,2400.0,"Black Family Visual Arts Center, 22, Lebanon Street, Hanover, Grafton County, New Hampshire, 03755, United States",arts_centre,amenity,Black Family Visual Arts Center,us,33.0
404,20,249.02868212166985,0.103761950884029,4.323414620167879e-05,3,17:04:2013 ,5,43,43.7028667,-72.2898729,1366152195,True,1.0,15600.0,"Collis Student Center, 2, North Main Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Collis Student Center,us,19.0
362,20,227.2425105118043,0.1893687587598369,0.0001578072989665,3,17:04:2013 ,9,3,43.704351,-72.2898012,1366164195,True,1.0,12000.0,"Dartmouth College, Downing Road, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,1.0
5,20,304.2449697966712,0.2533263695226238,0.0002109295333244,3,17:04:2013 ,9,23,43.7065675,-72.2869923,1366165396,True,1.0,1201.0,"Sudikoff Hall, 9, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Sudikoff Hall,us,116.0
303,20,70.92360180216355,0.0591030015018029,4.9252501251502465e-05,3,17:04:2013 ,11,43,43.7070908,-72.2859714,1366173795,True,1.0,8399.0,"Gilman Parking Lot, 54, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",parking,amenity,Gilman Parking Lot,us,39.0
657,20,260.5090097342983,0.2167296254029103,0.0001803075086546,3,17:04:2013 ,21,3,43.7089698,-72.2841742,1366207397,True,1.0,33602.0,"Life Sciences Greenhouse, 78, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",house,place,Life Sciences Greenhouse,us,12.0
598,20,5.833592508675283,0.0048694428286104,4.0646434295579464e-06,3,17:04:2013 ,21,23,43.7089273,-72.2841358,1366208595,False,0.0,1198.0,"Life Sciences Greenhouse, 78, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",house,place,Life Sciences Greenhouse,us,37.0
599,20,21.124479581593953,0.0176037329846616,1.4669777487218022e-05,3,17:04:2013 ,21,43,43.7087734,-72.2842486,1366209795,True,1.0,1200.0,"Life Sciences Greenhouse, 78, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",house,place,Life Sciences Greenhouse,us,37.0
600,20,19.353812404825664,0.0161281770040213,1.3440147503351156e-05,3,17:04:2013 ,22,3,43.7089144,-72.28415,1366210995,False,0.0,1200.0,"Life Sciences Greenhouse, 78, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",house,place,Life Sciences Greenhouse,us,37.0
384,20,251.10661206007472,0.2092555100500622,0.0001743795917083,3,17:04:2013 ,22,23,43.707085,-72.2862485,1366212195,True,1.0,1200.0,"Berry Hall, 10, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",dormitory,building,Berry Hall,us,4.0
447,20,7.618064128364588,0.0063483867736371,5.290322311364297e-06,3,17:04:2013 ,23,23,43.707139,-72.2859923,1366215795,False,0.0,3600.0,"Berry Hall, 10, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",dormitory,building,Berry Hall,us,56.0
125,20,112.06127650163268,0.0933066415500688,7.769079229814225e-05,3,17:04:2013 ,23,43,43.7063226,-72.2889734,1366216996,True,1.0,1201.0,"Dartmouth College, Downing Road, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,26.0
